UCS_F,UCS_TIPO,DEPARTAMENTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO_ID
ZVCc,Consociacion,Guaviare,3,4,0.32,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVHai,Disociacion,Guaviare,6,4,0.64625,1
ZVAb,Disociacion,Guaviare,5,4,0.64,1
VVAai,Complejo,Guaviare,2,4,0.375,1
VVAai,Complejo,Guaviare,2,4,0.375,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVCai,Asociacion,Guaviare,6,4,0.39625,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
ZVBc,Asociacion,Guaviare,3,4,0.375,1
LVDc,Asociacion,Guaviare,5,4,0.465,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
LVCb,Complejo,Guaviare,6,4,0.63,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
ZVAa,Disociacion,Guaviare,5,4,0.64,1
ZVAc,Disociacion,Guaviare,5,4,0.64,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVAa,Consociacion,Guaviare,4,4,0.4825,1
LVAb,Consociacion,Guaviare,4,4,0.4825,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
LVBa,Consociacion,Guaviare,5,4,0.35375,1
LVDd1,Asociacion,Guaviare,5,4,0.465,1
RVDa,Asociacion,Guaviare,4,4,0.555,1
RVDa,Asociacion,Guaviare,4,4,0.555,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVAai,Asociacion,Guaviare,3,4,0.405,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
RVBai,Complejo,Guaviare,3,4,0.345,1
VVAai,Complejo,Guaviare,2,4,0.375,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
MUJef1,Asociacion,Meta,3,5,0.51,1
PVFa,Consociacion,Meta,2,4,0.26125,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
LVHdc2,Complejo,Meta,2,5,0.655,1
AUAbc1,Consociacion,Meta,2,5,0.173,1
AUAbc1,Consociacion,Meta,2,5,0.173,1
AUBbc,Asociacion,Meta,2,5,0.615,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVCa,Consociacion,Meta,1,5,0.375,1
AVDa,Consociacion,Meta,1,5,0.375,1
AVEb,Consociacion,Meta,1,5,0.375,1
LVKbc1,Asociacion,Meta,2,5,0.655,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVFb,Asociacion,Meta,2,5,0.635,1
AVGb,Asociacion,Meta,2,4,0.635,1
AVGb,Asociacion,Meta,2,4,0.635,1
AVGb,Asociacion,Meta,2,4,0.635,1
AVGb,Asociacion,Meta,2,4,0.635,1
LUAec,Complejo,Meta,2,5,0.635,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUBcd,Asociacion,Meta,2,5,0.429,1
LUCe,Consociacion,Meta,1,5,0.16,1
LUCe,Consociacion,Meta,1,5,0.16,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LUDcd,Complejo,Meta,3,5,0.72,1
LVGdc2,Complejo,Meta,2,5,0.383,1
LVGdc2,Complejo,Meta,2,5,0.383,1
LVGdc2,Complejo,Meta,2,5,0.383,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVJbc1,Asociacion,Meta,2,5,0.655,1
LVKbc1,Asociacion,Meta,2,5,0.655,1
LVKbc1,Asociacion,Meta,2,5,0.655,1
MPMef,Asociacion,Meta,2,5,0.431,1
MUOef1,Complejo,Meta,3,5,0.595,1
PVAa,Consociacion,Meta,1,4,0.375,1
PVBa,Asociacion,Meta,2,5,0.591,1
PVBa,Asociacion,Meta,2,5,0.591,1
PVBa,Asociacion,Meta,2,5,0.591,1
PVFa,Consociacion,Meta,2,4,0.26125,1
RUAa,Consociacion,Meta,1,4,0.18,1
RUAa,Consociacion,Meta,1,4,0.18,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUBa,Consociacion,Meta,1,4,0.32,1
RUCapx,Asociacion,Meta,3,4,0.53125,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RUDax,Asociacion,Meta,3,4,0.5888,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVEa,Consociacion,Meta,1,4,0.375,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVFay,Asociacion,Meta,2,4,0.5325,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVGay,Consociacion,Meta,1,4,0.42,1
RVHay,Asociacion,Meta,2,4,0.39875,1
RVLax,Consociacion,Meta,1,4,0.255,1
RVLax,Consociacion,Meta,1,4,0.255,1
RVLax,Consociacion,Meta,1,4,0.255,1
RVLax,Consociacion,Meta,1,4,0.255,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVMax,Asociacion,Meta,3,4,0.4975,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
RVNax,Complejo,Meta,2,4,0.55625,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVAaxy,Asociacion,Meta,3,4,0.495,1
VVBaxy,Asociacion,Meta,2,4,0.635,1
VVBaxy,Asociacion,Meta,2,4,0.635,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVEc1,Consociacion,Vichada,3,4,0.51,1
AVEd1,Consociacion,Vichada,3,4,0.51,1
AVEd1,Consociacion,Vichada,3,4,0.51,1
AVEd1,Consociacion,Vichada,3,4,0.51,1
AVEd1,Consociacion,Vichada,3,4,0.51,1
AVBb,Complejo,Vichada,4,4,0.49125,1
LUBc1,Asociacion,Vichada,6,4,0.7125,1
LUBc1,Asociacion,Vichada,6,4,0.7125,1
LUBd2,Asociacion,Vichada,6,4,0.7125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
AVBd2,Complejo,Vichada,4,4,0.49125,1
AVBd2,Complejo,Vichada,4,4,0.49125,1
AVBd2,Complejo,Vichada,4,4,0.49125,1
AVBb1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
VVBai,Asociacion,Vichada,4,4,0.6425,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUCai,Consociacion,Vichada,1,4,0.095,1
LUBd1,Asociacion,Vichada,6,4,0.7125,1
LUBd1,Asociacion,Vichada,6,4,0.7125,1
LUAb1,Consociacion,Vichada,3,4,0.36,1
LUAb1,Consociacion,Vichada,3,4,0.36,1
LUAb1,Consociacion,Vichada,3,4,0.36,1
LUAb1,Consociacion,Vichada,3,4,0.36,1
LUAb1,Consociacion,Vichada,3,4,0.36,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBd2,Asociacion,Vichada,6,4,0.6125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
LUBc2,Asociacion,Vichada,6,4,0.7125,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
VUBai,Complejo,Vichada,3,4,0.635,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
AVBc1,Complejo,Vichada,4,4,0.49125,1
