OBJECTID,UCS,UCS_F,FASES,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFIL,PERFIL1,PERFIL2,PERFIL3,PERFIL4,AÅREA_ha,NUM_SUELO,SUELO1,SUELO2,SUELO3,SUELO4,PORC1,PORC2,PORC3,PORC4
1197,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,122.5610198,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1198,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,36.47489542,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1199,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,477.6358735,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
147,MPA,MPAe,"c, d, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Templado_muy_humedo_y_humedo,Filas_y_vigas,Materiales_metamorficos_(granulitas_y_pegmattas),"Bien_drenados,_moderadamente_profundos_a_superficiales,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",59; T-246; T-257,59,T-246,T-257,NA,1705.465846,3,Typic_Udorthents,Lithic_Udorthents,Typic_Dystrudepts,NA,40,30,30,NA
148,MPA,MPAg,"c, d, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Templado_muy_humedo_y_humedo,Filas_y_vigas,Materiales_metamorficos_(granulitas_y_pegmattas),"Bien_drenados,_moderadamente_profundos_a_superficiales,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",59; T-246; T-257,59,T-246,T-257,NA,8440.065228,3,Typic_Udorthents,Lithic_Udorthents,Typic_Dystrudepts,NA,40,30,30,NA
149,MPA,MPAf,"c, d, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Templado_muy_humedo_y_humedo,Filas_y_vigas,Materiales_metamorficos_(granulitas_y_pegmattas),"Bien_drenados,_moderadamente_profundos_a_superficiales,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",59; T-246; T-257,59,T-246,T-257,NA,2543.956188,3,Typic_Udorthents,Lithic_Udorthents,Typic_Dystrudepts,NA,40,30,30,NA
150,LVC,LVCb,"a, b, c, c2",Asociacion,Caqueta,Lomerio,Calido_humedo,Mesas,Arcillolitas_y_lodolitas_altamente_alteradas,"Bien_a_pobremente_drenados,_profundos_a_muy_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",CQ-70; 138; CQ-20,CQ-70,138,CQ-20,NA,977.9484625,3,Typic_Hapludox,Typic_Hapludults,Typic_Humaquepts,NA,40,30,30,NA
151,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,413.5239982,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
152,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,70.41845214,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
154,MVC,MVCf,"d, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Hogbacks_y_espinazos,"Estratos_fuertemente_basculados_de_areniscas,_arcillolitas_y_conglomerados","Bien_drenados,_moderadamente_profundos_a_superficiales,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",78; T-234; 141,78,T-234,141,NA,254.4468577,3,Lithic_Dystrudepts,Lithic_Udorthents,Oxic_Dystrudepts,NA,50,30,20,NA
155,MVE,MVEb,"a, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Vallecitos,"Sedimentos_aluviales_
medios","Bien_e_imperfectamente_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_con_moderada_saturacion_de_aluminio._Fertilidad_baja",CQ-73; CQ-53; T-206,CQ-73,CQ-53,T-206,NA,1251.098886,3,Fluventic_Dystrudepts,Oxyaquic_Udifluvents,Typic_Udifluvents,NA,50,30,20,NA
323,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,74.25366313,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
324,LVC,LVCc,"a, b, c, c2",Asociacion,Caqueta,Lomerio,Calido_humedo,Mesas,Arcillolitas_y_lodolitas_altamente_alteradas,"Bien_a_pobremente_drenados,_profundos_a_muy_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",CQ-70; 138; CQ-20,CQ-70,138,CQ-20,NA,571.4592362,3,Typic_Hapludox,Typic_Hapludults,Typic_Humaquepts,NA,40,30,30,NA
325,PVB,PVBa,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_subrecientes,Sedimentos_coluvio_aluviales_finos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-233; T207; CQ-13,T-233,T207,CQ-13,NA,440.7181902,4,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Humaquepts,Typic_Paleudults,40,30,20,NA
326,VVC,VVCa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_media,"Sedimentos_aluviales_finos_y_moderadamente_finos,_en_sectores_hay_depositos_de_arena_y_cascajo","Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",CQ-41; CQ-64; CQ-19,CQ-41,CQ-64,CQ-19,NA,136.1636506,3,Typic_Dystrudepts,Oxyaquic_Dystrudepts,Typic_Humudepts,NA,40,20,40,NA
327,VVD,VVDa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,328.5748157,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
328,PVB,PVBa,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_subrecientes,Sedimentos_coluvio_aluviales_finos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-233; T207; CQ-13,T-233,T207,CQ-13,NA,656.4653047,4,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Humaquepts,Typic_Paleudults,40,30,20,NA
329,MVD,MVDc,"c, d, d2, f, f2",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Lomas_y_colinas,Arcillolitas_y_lodolitas_altamente_meteorizadas,"Bien_drenados,_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-237; T-238; 18,T-237,T-238,18,NA,300.2646036,4,Typic_Dystrudepts,Typic_Kandiudox,Lithic_Udorthents,Oxic_Dystrudepts,40,40,10,NA
330,MVD,MVDd,"c, d, d2, f, f2",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Lomas_y_colinas,Arcillolitas_y_lodolitas_altamente_meteorizadas,"Bien_drenados,_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-237; T-238; 18,T-237,T-238,18,NA,354.9256051,4,Typic_Dystrudepts,Typic_Kandiudox,Lithic_Udorthents,Oxic_Dystrudepts,40,40,10,NA
331,MVE,MVEa,"a, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Vallecitos,"Sedimentos_aluviales_
medios","Bien_e_imperfectamente_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_con_moderada_saturacion_de_aluminio._Fertilidad_baja",CQ-73; CQ-53; T-206,CQ-73,CQ-53,T-206,NA,159.3527711,3,Fluventic_Dystrudepts,Oxyaquic_Udifluvents,Typic_Udifluvents,NA,50,30,20,NA
167,LVC,LVCa,"a, b, c, c2",Asociacion,Caqueta,Lomerio,Calido_humedo,Mesas,Arcillolitas_y_lodolitas_altamente_alteradas,"Bien_a_pobremente_drenados,_profundos_a_muy_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",CQ-70; 138; CQ-20,CQ-70,138,CQ-20,NA,1849.247025,3,Typic_Hapludox,Typic_Hapludults,Typic_Humaquepts,NA,40,30,30,NA
168,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,340.405038,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
194,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,1183.792035,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
195,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,514.117918,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
199,LVC,LVCc2,"a, b, c, c2",Asociacion,Caqueta,Lomerio,Calido_humedo,Mesas,Arcillolitas_y_lodolitas_altamente_alteradas,"Bien_a_pobremente_drenados,_profundos_a_muy_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",CQ-70; 138; CQ-20,CQ-70,138,CQ-20,NA,324.7977424,3,Typic_Hapludox,Typic_Hapludults,Typic_Humaquepts,NA,40,30,30,NA
200,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,37.04072314,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
201,LVA,LVAd2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,359.9586004,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
202,VVD,VVDb,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,85.0031755,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
265,MVA,MVAd,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,40.31663262,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
266,MVA,MVAd,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,615.0074901,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
267,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,438.279837,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
268,MVA,MVAf,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,687.3555943,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
269,LVA,LVAd2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,138.1059491,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
270,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,86.39046164,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
272,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,24337.94592,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
273,PVE,PVEai,ai,Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Vallecitos,Sedimentos_aluviales_heterometricos_con_matriz_media_y_gruesa,"Pobremente_drenados_a_bien_drenados,_superficiales_a_profundos,_muy_fuertemente_acidos,_moderada_saturacion_de_aluminio._Fertilidad_baja",CQ-121; CQ-76; CQ-56,CQ-121,CQ-76,CQ-56,NA,104.8007497,3,Typic_Endoaquepts,Typic_Udifluvents,Typic_Udorthents,NA,40,40,20,NA
274,PVC,PVCa,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_recientes,Sedimentos_coluvio_aluviales_medios_sobre_gruesos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_muy_fuertemente_acidos,_moderada_a_alta_saturacion_de_aluminio._Fertilidad_moderada_a_baja",CQ-122; T-230,CQ-122,T-230,NA,NA,154.5708324,2,Oxic_Dystrudepts,Typic_Endoaquepts,NA,NA,60,40,NA,NA
275,VVC,VVCa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_media,"Sedimentos_aluviales_finos_y_moderadamente_finos,_en_sectores_hay_depositos_de_arena_y_cascajo","Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",CQ-41; CQ-64; CQ-19,CQ-41,CQ-64,CQ-19,NA,223.270696,3,Typic_Dystrudepts,Oxyaquic_Dystrudepts,Typic_Humudepts,NA,40,20,40,NA
656,PVB,PVBc,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_subrecientes,Sedimentos_coluvio_aluviales_finos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-233; T207; CQ-13,T-233,T207,CQ-13,NA,7241.00705,4,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Humaquepts,Typic_Paleudults,40,30,20,NA
657,PVA,PVAc,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_antiguos,Sedimentos_coluvio_aluviales_mixtos,"Moderadamente_bien_drenados_a_pobremente_drenados,_moderadamente_profundos_a_superficiales,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-204; CQ-34; CQ-33,T-204,CQ-34,CQ-33,NA,6598.313605,3,Typic_Hapludults,Typic_Kandiudox,Typic_Humaquepts,NA,40,30,30,NA
1090,LVA,LVAe2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,209.4288032,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
1091,LVA,LVAd2,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,1498.542086,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
1092,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,128.2515703,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1094,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,208.3283573,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1095,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,39.20791481,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1096,MVA,MVAd,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,68.31487906,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
1110,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,604.0555321,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1111,MPA,MPAc,"c, d, e, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Templado_muy_humedo_y_humedo,Filas_y_vigas,Materiales_metamorficos_(granulitas_y_pegmattas),"Bien_drenados,_moderadamente_profundos_a_superficiales,_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",59; T-246; T-257,59,T-246,T-257,NA,101.812016,3,Typic_Udorthents,Lithic_Udorthents,Typic_Dystrudepts,NA,40,30,30,NA
1112,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,1076.633526,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
1113,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,126.1930252,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
1125,LVB,LVBai,ai,Asociacion,Caqueta,Lomerio,Calido_humedo,Depresion,Depositos_organicos_poco_descompuestos_sobre_arcillas_gleizadas,"Muy_pobremente_drenados,_muy_superficiales,_extremadamente_acidos._Fertilidad_muy_baja",CQ-11; CQ-12,CQ-11,CQ-12,NA,NA,101.9206295,2,Typic_Humaquepts,Hidric_Haplofibrists,NA,NA,60,40,NA,NA
1114,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,1181.841854,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
1115,MVA,MVAc,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,83.88678283,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
1116,MVA,MVAc,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,29.93331599,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
1117,MVD,MVDf2,"c, d, d2, f, f2",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Lomas_y_colinas,Arcillolitas_y_lodolitas_altamente_meteorizadas,"Bien_drenados,_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-237; T-238; 18,T-237,T-238,18,NA,378.0349232,4,Typic_Dystrudepts,Typic_Kandiudox,Lithic_Udorthents,Oxic_Dystrudepts,40,40,10,NA
