OBJECTID,UCS,UCS_F,FASES,UCS_TIPO,DEPARTAMENTO,PAISAJE,CLIMA,TIPO_RELIEVE,LITOLOGIA,CARACTERISTICAS,PERFIL,PERFIL1,PERFIL2,PERFIL3,PERFIL4,AÅREA_ha,NUM_SUELO,SUELO1,SUELO2,SUELO3,SUELO4,PORC1,PORC2,PORC3,PORC4
110,PVA,PVAc,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_antiguos,Sedimentos_coluvio_aluviales_mixtos,"Moderadamente_bien_drenados_a_pobremente_drenados,_moderadamente_profundos_a_superficiales,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-204; CQ-34; CQ-33,T-204,CQ-34,CQ-33,NA,296.5906803,3,Typic_Hapludults,Typic_Kandiudox,Typic_Humaquepts,NA,40,30,30,NA
598,LUA,LUAc2,"c, c2, d2, e2",Asociacion,Caqueta,Lomerio,Calido_muy_humedo,Lomas_y_colinas,Arcillolitas_y_lodolitas_altamente_meteorizadas,"Bien_drenados,_moderadamente_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio,_bases_totales_bajas._Fertilidad_muy_baja",T-201; T-221; T-241,T-201,T-221,T-241,NA,143.5875754,3,Typic_Hapludults,Typic_Kandiudults,Oxic_Dystrudepts,NA,40,30,30,NA
599,MKA,MKAf,"f, g",Asociacion,Caqueta,Montana_estructural_erosional,Frio_muy_humedo_y_humedo,Filas_y_vigas,Granito_y_neiss_fuertemente_meteorizados,"Bien_drenados,_moderadamente_profundos,_extremadamente_acidos,_con_alta_saturacion_de_aluminio._Fertilidad_baja",T-259; 149; T-227,T-259,149,T-227,NA,478.5340277,3,Typic_Humudepts,Typic_Dystrudepts,Andic_Dystrudepts,NA,40,30,30,NA
622,MVA,MVAf,"c, d, e, e2, f, f2, g",Asociacion,Caqueta,Montana_estructural_erosional,Calido_humedo,Filas_y_vigas,Granitos_y_neiss_con_inclusiones_de_areniscas_sobre_arcillolitas,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",73; T-232; T-247,73,T-232,T-247,NA,32939.99086,3,Typic_Dystrudepts,Oxic_Dystrudepts,Inceptic_Hapludox,NA,50,40,10,NA
623,PVC,PVCa,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_recientes,Sedimentos_coluvio_aluviales_medios_sobre_gruesos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_muy_fuertemente_acidos,_moderada_a_alta_saturacion_de_aluminio._Fertilidad_moderada_a_baja",CQ-122; T-230,CQ-122,T-230,NA,NA,557.3503139,2,Oxic_Dystrudepts,Typic_Endoaquepts,NA,NA,60,40,NA,NA
624,MUC,MUCai,"ai, b",Asociacion,Caqueta,Montana_estructural_erosional,Calido_muy_humedo,Vallecitos,Sedimentos_aluviales_heterometricos_con_matriz_media_y_gruesa,"Bien_a_pobremente_drenados,_moderadamente_profundos_a_superficiales,_muy_fuertemente_acidos._Fertilidad_baja",CQ-23; T-245,CQ-23,T-245,NA,NA,209.6675974,2,Typic_Dystrudepts,Typic_Endoaquepts,NA,NA,60,40,NA,NA
625,PVB,PVBa,"a, b, c",Asociacion,Caqueta,Piedemonte_aluvial,Calido_humedo,Abanicos_subrecientes,Sedimentos_coluvio_aluviales_finos,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_alta_saturacion_de_aluminio._Fertilidad_baja",T-233; T207; CQ-13,T-233,T207,CQ-13,NA,3329.50893,4,Oxic_Dystrudepts,Typic_Dystrudepts,Typic_Humaquepts,Typic_Paleudults,40,30,20,NA
626,LVA,LVAb,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,223.1590646,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
627,VVD,VVDa,"a, b",Asociacion,Caqueta,Valle_aluvial,Calido_humedo,Terraza_alta,Depositos_aluviales_finos_y_medios,"Bien_a_pobremente_drenados,_profundos_a_superficiales,_extremada_a_fuertemente_acidos,_moderada_a_baja_capacidad_de_intercambio_cationico._Fertilidad_baja",CQ-63; CQ-45; CQ-18,CQ-63,CQ-45,CQ-18,NA,463.553788,4,Typic_Hapludox,Typic_Kandiudox,Typic_Humaquepts,Typic_Dystrudepts,50,20,20,10
628,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,370.0244584,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
629,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,191.9332035,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
630,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,228.1465728,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
771,LVD,LVDb,"a, b, c, d, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_mesas,Arcillolitas_y_lodolitas_que_alternan_con_arenas_ferruginosas_de_la_formacion_Orito,"Bien_drenados,_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio,_baja_saturacion_de_bases._Fertilidad_baja",CQ-43; CQ-44,CQ-43,CQ-44,NA,NA,19345.89193,2,Plintic_Hapludox,Typic_Udipsamments,NA,NA,60,40,NA,NA
772,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,229.9362707,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
773,LVD,LVDb,"a, b, c, d, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_mesas,Arcillolitas_y_lodolitas_que_alternan_con_arenas_ferruginosas_de_la_formacion_Orito,"Bien_drenados,_profundos,_muy_fuertemente_acidos,_alta_saturacion_de_aluminio,_baja_saturacion_de_bases._Fertilidad_baja",CQ-43; CQ-44,CQ-43,CQ-44,NA,NA,17791.78937,2,Plintic_Hapludox,Typic_Udipsamments,NA,NA,60,40,NA,NA
774,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,4440.027739,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
775,LVC,LVCb,"a, b, c, c2",Asociacion,Caqueta,Lomerio,Calido_humedo,Mesas,Arcillolitas_y_lodolitas_altamente_alteradas,"Bien_a_pobremente_drenados,_profundos_a_muy_superficiales,_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",CQ-70; 138; CQ-20,CQ-70,138,CQ-20,NA,812.0771633,3,Typic_Hapludox,Typic_Hapludults,Typic_Humaquepts,NA,40,30,30,NA
776,LVE,LVEai,"ai, b",Asociacion,Caqueta,Lomerio,Calido_humedo,Vallecitos,Sedimentos_coluvio_aluviales_heterometricos,"Pobre_a_moderadamente_bien_drenados,_muy_superficiales_a_moderadamente_profundos,_extremadamente_acidos._Fertilidad_baja",CQ-134; T-224; 103,CQ-134,T-224,103,NA,139.0264479,3,Typic_Endoaquepts,Typic_Epiaquepts,Aquic_Udifluvents,NA,40,30,30,NA
777,LVA,LVAc,"b, c, c2, d, d2, e, e2",Asociacion,Caqueta,Lomerio,Calido_humedo,Lomas_y_colinas,Arcillas_abigarradas_de_la_formacion_Orito_y_Terciario_superior,"Bien_drenados,_moderadamente_profundos_a_profundos,_muy_fuerte_a_extremadamente_acidos,_alta_saturacion_de_aluminio._Fertilidad_muy_baja",T-250; T-225; CQ-135; CQ-52,T-250,T-225,CQ-135,CQ-52,91394.60362,4,Typic_Paleudults,Typic_Hapludults,Oxic_Dystrudepts,Aeric_Endoaquents,40,40,10,10
