OID,UCS,UCS_F,PAISAJE,CLIMA,TIPO_RELIE,LITOLOGÍA,CARACTERÍ,CARACTER_1,COMPONENTE,PERFIL,PORCENTAJE,FORMA_TERR,Conteo,Suelo1,Suelo2,Suelo3,Suelo4,Perfil1,Perfil2,Perfil3,Porcent1,Porcent2,Porcent3,Porcent4,Index_Taxo,Index_Prop,Unit_Carto,Departamen
-1,MFA,MFAf,Montaña Denudacional,Muy frio y pluvial,Filas y vigas,Depositos piroclasticos no consolidados (ceniza) sobre rocas sedimentarias, ,"Profundos a muy profundos, bien drenados, extremada a fuertemente acidos, contenido alto de materia organica, texturas moderadamente gruesas, fertilidad baja",Grupo indiferenciado: Alic Hapludands; Andic Dystrudepts; Afloramientos rocosos,"CH-132, CH-133","50, 35", ,3,Alic_Hapludands,Andic_Dystrudepts,Afloramientos_rocosos,NA,"CH-132, CH-133",NA,NA,50,35,NA,NA,0.000000000000000,0.000000000000000,Grupo_indiferenciado,Choco
-1,MOA,MOAg,Montaña Denudacional,Medio pluvial,Filas y vigas,Depositos piroclasticos no consolidados (ceniza) sobre rocas igneas (basaltos y granitos), ,"Superficiales a muy profundos, bien drenados, fuerte a muy fuertemente acidos, contenidos altos a medios de materia organica, texturas gruesas a moderadamente gruesas, fertilidad alta a baja",Asociacion: Acrudoxic Hapludands; Andic Dystrudepts; Lithic Hapludands; Lithic Udorthents,"CH-72, CH-66, CH-65, CH-134","35, 25, 20, 20", ,4,Acrudoxic_Hapludands,Andic_Dystrudepts,Lithic_Hapludands,Lithic_Udorthents,"CH-72, CH-66, CH-65, CH-134",NA,NA,35,25,20,20,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,MUA,MUAg,Montaña Denudacional,Calido muy humedo y pluvial,Filas y vigas,Rocas igneas volcanicas maficas (diabasas y balsaltos), ,"Profundos, bien drenados, extremada a fuertemente acidos, contenidos altos de materia organica en el horizonte superficial y bajos a profundidad, texturas moderadamente finas, fertilidad baja",Asociacion: Typic Dystrudepts; Typic Udorthents; Humic Dystrudepts,"CH-75, CH-98, CH-57","50, 20, 20", ,3,Typic_Dystrudepts,Typic_Udorthents,Humic_Dystrudepts,NA,"CH-75, CH-98, CH-57",NA,NA,50,20,20,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,MUA,MUAg,Montaña Denudacional,Calido muy humedo y pluvial,Filas y vigas,Rocas igneas volcanicas maficas (diabasas y balsaltos), ,"Profundos, bien drenados, extremada a fuertemente acidos, contenidos altos de materia organica en el horizonte superficial y bajos a profundidad, texturas moderadamente finas, fertilidad baja",Asociacion: Typic Dystrudepts; Typic Udorthents; Humic Dystrudepts,"CH-75, CH-98, CH-57","50, 20, 20", ,3,Typic_Dystrudepts,Typic_Udorthents,Humic_Dystrudepts,NA,"CH-75, CH-98, CH-57",NA,NA,50,20,20,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,MUC,MUCf1,Montaña Denudacional,Calido muy humedo y pluvial,Filas y vigas,Rocas igneas plutonicas intermedias (dioritas) y felsicas (cuarzodiorita), ,"Profundos, bien drenados, neutros a muy fuertemente acidos, contenidos muy altos y bajos de materia organica, texturas medias a moderadamente finas, fertilidad alta a baja",Asociacion: Humic Dystrudepts; Typic Eutrudepts,"CH-62, CH-90","60, 40", ,2,Humic_Dystrudepts,Typic_Eutrudepts,NA,NA,"CH-62, CH-90",NA,NA,60,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,RUA,RUAa,Planicie Aluvial,Calido humedo muy humedo y pluvial,Plano de inundacion,"Depositos clasticos hidrogenicos (arcillas,limos y arenas)", ,"Muy superficiales a moderadamente profundos, drenaje imperfecto, fuertemente acidos a neutros, contenidos altos a bajos de materia organica, texturas medias a moderadamente finas, fertilidad alta a moderada",Asociacion: Fluvaquentic Eutrudepts; Aeric Fluvaquents,"CH-92, CH-93","50, 40", ,2,Fluvaquentic_Eutrudepts,Aeric_Fluvaquents,NA,NA,"CH-92, CH-93",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,RUA,RUAa,Planicie Aluvial,Calido humedo muy humedo y pluvial,Plano de inundacion,"Depositos clasticos hidrogenicos (arcillas,limos y arenas)", ,"Muy superficiales a moderadamente profundos, drenaje imperfecto, fuertemente acidos a neutros, contenidos altos a bajos de materia organica, texturas medias a moderadamente finas, fertilidad alta a moderada",Asociacion: Fluvaquentic Eutrudepts; Aeric Fluvaquents,"CH-92, CH-93","50, 40", ,2,Fluvaquentic_Eutrudepts,Aeric_Fluvaquents,NA,NA,"CH-92, CH-93",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,RUJ,RUJb,Planicie Fluviomarina,Calido humedo muy humedo y pluvial,Terraza,Depositos clasticos hidrogenicos (limos y arcillas marinos), ,"Profundos a moderadamente profundos, imperfecta a bien drenados, fuerte a extremadamente acidos, texturas variables, fertilidad baja a muy baja",Asociacion: Oxic Dystrudepts; Fluvaquentic Dystrudepts,"P-16, P-15, P-17","50, 40", ,2,Oxic_Dystrudepts,Fluvaquentic_Dystrudepts,NA,NA,"P-16, P-15, P-17",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,VUA,VUAa,Valle,Calido muy humedo y pluvial,Plano de inundacion,Depositos clasticos hidrogenicos (limos y arenas), ,"Moderadamente profundos, drenaje imperfecto, extremadamente acidos, contenidos de materia organica altos a bajos, texturas medias a finas, fertilidad baja a moderada",Asociacion: Oxyaquic Udifluvents; Aeric Epiaquepts,"CH-25, CH-32","50, 40", ,2,Oxyaquic_Udifluvents,Aeric_Epiaquepts,NA,NA,"CH-25, CH-32",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
-1,RUG,RUGa,Planicie Aluvial,Calido humedo muy humedo y pluvial,Terraza,Depositos clasticos hidrogenicos (mixtos aluviales) y depositos organicos, ,"Muy superficiales a superficiales, drenaje imperfecto a pobre, extremada a fuertemente acidos, contenidos muy altos a muy bajos de materia organica, texturas medias a finas, fertilidad muy baja",Asociacion: Oxyaquic Hapludults; Hydric Haplohemists,"CH-17, CH-53","50, 40", ,2,Oxyaquic_Hapludults,Hydric_Haplohemists,NA,NA,"CH-17, CH-53",NA,NA,50,40,NA,NA,0.000000000000000,0.000000000000000,Asociacion,Choco
