OBJECTID,UCS_F,UCS_TIPO,DEPTO,NUM_SUELOS,NIVEL_TAXO,RAO,NUCLEO
1,RVDa,Asociacion,Guaviare,4,4,0.555,Nucleo 1
2,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
3,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
4,RVDa,Asociacion,Guaviare,4,4,0.555,Nucleo 1
5,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
6,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
7,LVAb,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
8,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
9,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
10,LVFe2,Asociacion,Guaviare,3,4,0.605,Nucleo 1
11,ZVBd1,Asociacion,Guaviare,3,4,0.375,Nucleo 1
12,LVDd1,Asociacion,Guaviare,5,4,0.465,Nucleo 1
13,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
14,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
15,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
16,ZVBd1,Asociacion,Guaviare,3,4,0.375,Nucleo 1
17,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
18,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
20,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
21,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
22,ZVAa,Disociacion,Guaviare,5,4,0.64,Nucleo 1
23,LVDd1,Asociacion,Guaviare,5,4,0.465,Nucleo 1
24,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
25,ZVBc,Asociacion,Guaviare,3,4,0.375,Nucleo 1
26,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
27,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
28,ZVBc,Asociacion,Guaviare,3,4,0.375,Nucleo 1
29,LVDd1,Asociacion,Guaviare,5,4,0.465,Nucleo 1
30,ZVCc,Consociacion,Guaviare,3,4,0.32,Nucleo 1
31,ZVBd1,Asociacion,Guaviare,3,4,0.375,Nucleo 1
32,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
33,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
34,ZVCc,Consociacion,Guaviare,3,4,0.32,Nucleo 1
35,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
36,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
37,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
38,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
39,ZVBc,Asociacion,Guaviare,3,4,0.375,Nucleo 1
40,ZVAb,Disociacion,Guaviare,5,4,0.64,Nucleo 1
41,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
42,RVAai,Asociacion,Guaviare,3,4,0.405,Nucleo 1
43,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
44,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
45,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
46,ZVAc,Disociacion,Guaviare,5,4,0.64,Nucleo 1
47,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
48,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
49,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
50,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
51,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
52,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
53,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
54,RVAai,Asociacion,Guaviare,3,4,0.405,Nucleo 1
55,AVAc,Consociacion,Guaviare,5,4,0.49125,Nucleo 1
56,AVAd1,Consociacion,Guaviare,5,4,0.49125,Nucleo 1
57,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
58,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
59,LVAa,Consociacion,Guaviare,4,4,0.4825,Nucleo 1
60,RVEa,Asociacion,Guaviare,3,4,0.625,Nucleo 1
61,RVAai,Asociacion,Guaviare,3,4,0.405,Nucleo 1
62,RVDa,Asociacion,Guaviare,4,4,0.555,Nucleo 1
63,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
64,RVAai,Asociacion,Guaviare,3,4,0.405,Nucleo 1
65,RVBai,Complejo,Guaviare,3,4,0.345,Nucleo 1
66,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
67,LVHai,Disociacion,Guaviare,6,4,0.64625,Nucleo 1
68,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
69,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
70,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
71,LVFd1,Asociacion,Guaviare,3,4,0.605,Nucleo 1
72,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
73,AVAc,Consociacion,Guaviare,5,4,0.49125,Nucleo 1
74,RVEa,Asociacion,Guaviare,3,4,0.625,Nucleo 1
75,RVCai,Asociacion,Guaviare,6,4,0.39625,Nucleo 1
76,AVAa,Consociacion,Guaviare,5,4,0.49125,Nucleo 1
77,LVDd1,Asociacion,Guaviare,5,4,0.465,Nucleo 1
78,LVDd1,Asociacion,Guaviare,5,4,0.465,Nucleo 1
79,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
80,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
81,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
82,AVAb,Consociacion,Guaviare,5,4,0.49125,Nucleo 1
83,LVCb,Complejo,Guaviare,6,4,0.63,Nucleo 1
84,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
85,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
86,LVDc,Asociacion,Guaviare,5,4,0.465,Nucleo 1
